TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.ttl,1,86,19,3,1,0.08,35,469,0,96,113,0,3,0.46,0
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.type,1,79,18,3,1,0.08,27,446,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.unlink,1,96,20,3,1,0.1,45,486,0,102,122,3,5,0.46,0.38
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.append,1,80,19,3,1,0.06,30,476,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.decr,1,74,18,3,1,0.06,24,452,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.decrBy,1,74,18,3,1,0.06,24,452,0,89,101,1,0,0.47,1
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.decrByWrongValue,1,76,18,3,1,0.06,24,476,0,80,114,0,0,0.41,0
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.decrWrongValue,1,76,18,3,1,0.06,24,476,0,78,107,0,0,0.42,0
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.getDel,1,81,19,3,1,0.07,25,478,0,106,101,1,0,0.51,1
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.getEx,1,96,22,4,1,0.09,38,524,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.getSet,1,78,18,3,1,0.06,24,474,0,103,100,0,0,0.51,0
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.incr,1,74,18,3,1,0.06,24,452,0,84,102,1,0,0.45,1
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.incrBy,1,74,18,3,1,0.06,24,452,0,86,102,1,0,0.46,1
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.incrByFloat,1,77,19,3,1,0.06,24,478,0,95,108,1,0,0.47,1
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.incrByWrongValue,1,76,18,3,1,0.06,24,476,0,80,114,0,0,0.41,0
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.incrWrongValue,1,76,18,3,1,0.06,24,476,0,78,107,0,0,0.42,0
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.mget,1,81,19,3,1,0.06,41,488,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.mset,1,80,19,3,1,0.06,25,478,0,107,100,1,0,0.52,1
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.msetnx,1,81,19,3,1,0.06,28,479,0,108,100,1,0,0.52,1
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.sendBlockingCommandTest,1,78,16,3,1,0.07,30,492,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.sendCommandTest,1,70,15,3,1,0.06,39,452,0,94,99,0,0,0.49,0
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.setAndExat,1,88,22,4,1,0.07,26,501,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.setAndExpire,1,88,22,4,1,0.07,25,501,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.setAndExpireMillis,1,88,22,4,1,0.07,25,501,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.setAndGet,1,79,19,3,1,0.06,25,475,0,110,95,0,0,0.54,0
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.setAndKeepttl,1,91,22,4,1,0.08,29,506,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.setAndPxat,1,88,22,4,1,0.07,26,501,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.setex,1,77,19,3,1,0.06,25,456,0,96,98,1,0,0.49,1
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.setFailIfNotExistAndGet,1,86,21,4,1,0.06,23,511,0,104,111,1,1,0.48,0.5
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.setIfExistAndGet,1,92,22,4,1,0.07,26,523,0,121,111,1,1,0.52,0.5
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.setIfNotExistAndGet,1,92,22,4,1,0.07,26,523,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.setnx,1,80,19,3,1,0.06,26,476,0,102,102,1,0,0.5,1
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.setNxExAndGet,1,90,22,4,1,0.07,25,520,0,119,110,1,1,0.52,0.5
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.strlen,1,77,19,3,1,0.06,24,456,0,90,102,1,0,0.47,1
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.substr,1,79,19,3,1,0.06,32,475,0,100,105,1,0,0.49,1
redis.clients.jedis.commands.jedis.BitCommandsTest.bitCount,1,89,20,3,1,0.09,21,474,0,104,111,6,2,0.48,0.75
redis.clients.jedis.commands.jedis.BitCommandsTest.bitOp,1,83,20,3,1,0.07,20,482,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.BitCommandsTest.bitOpBinary,1,88,22,3,1,0.07,23,489,0,101,120,1,2,0.46,0.33
redis.clients.jedis.commands.jedis.BitCommandsTest.bitOpNot,1,84,21,3,1,0.07,14,484,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.BitCommandsTest.bitOpNotMultiSourceShouldFail,1,74,18,3,1,0.05,8,475,0,76,110,1,0,0.41,1
redis.clients.jedis.commands.jedis.BitCommandsTest.bitpos,3,85,21,4,1,0.07,29,478,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.BitCommandsTest.bitposBinary,3,85,21,4,1,0.07,29,480,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.BitCommandsTest.bitposWithNoMatchingBitExist,1,79,20,3,1,0.07,15,460,0,87,116,1,3,0.43,0.25
redis.clients.jedis.commands.jedis.BitCommandsTest.bitposWithNoMatchingBitExistWithinRange,2,83,21,4,1,0.07,15,475,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.BitCommandsTest.setAndgetbit,1,81,18,3,1,0.07,13,463,0,96,111,4,1,0.46,0.8
redis.clients.jedis.commands.jedis.BitCommandsTest.setAndgetrange,1,83,19,3,1,0.07,14,481,0,0,0,0,0,0,0
