TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,MutationScore,disjointMutationScore
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadWriteTest$ConnectionImplTransactionalReadWriteAfterStartDdlBatchTest.testWriteIterable[dialect = POSTGRESQL],2,101,22,2,1,0.06,113,591,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplAutocommitReadWriteTest$ConnectionImplAutocommitReadWriteNoActionsTest.testCommit[dialect = POSTGRESQL],2,77,14,2,1,0.06,112,438,1,0.00,0.00
com.google.cloud.spanner.SpannerGaxRetryTest.singleUseExecuteStreamingSqlUnavailable,0,412,67,5,1,0.01,531,2859,0,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadWriteTest$ConnectionImplTransactionalReadWriteAfterTransactionTest.testAbortBatch[dialect = GOOGLE_STANDARD_SQL],2,146,33,2,1,0.02,157,896,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplAutocommitReadWriteTest$ConnectionImplAutocommitReadWriteAfterStartDdlBatchTest.testBufferedWrite[dialect = GOOGLE_STANDARD_SQL],2,100,22,2,1,0.06,121,591,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplAutocommitReadWriteTest$ConnectionImplAutocommitReadWriteAfterTemporaryTransactionTest.testGetAutocommitDmlMode[dialect = GOOGLE_STANDARD_SQL],2,139,29,2,1,0.02,138,879,1,0.00,0.00
com.google.cloud.spanner.KeySetTest.singleKey,0,9,3,1,1,0.20,6,57,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplAutocommitReadWriteTest$ConnectionImplAutocommitReadWriteAfterDdlTest.testBufferedWrite[dialect = GOOGLE_STANDARD_SQL],2,135,32,2,1,0.04,113,847,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplAutocommitReadWriteTest$ConnectionImplAutocommitReadWriteAfterSelectAndResultSetNextTest.testGetCommitTimestamp[dialect = GOOGLE_STANDARD_SQL],2,127,28,2,1,0.03,129,804,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadWriteTest$ConnectionImplTransactionalReadWriteAfterEmptyCommitTest.testSetAutocommit[dialect = GOOGLE_STANDARD_SQL],2,80,14,2,1,0.05,111,450,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadWriteTest$ConnectionImplTransactionalReadWriteInDdlBatchTransactionTest.testSetAutocommitDmlMode[dialect = GOOGLE_STANDARD_SQL],2,116,25,2,1,0.03,123,725,1,0.00,0.00
com.google.cloud.spanner.connection.ReadWriteTransactionTest.testAbortBatch,1,17,8,2,1,0.28,30,104,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplAutocommitReadWriteTest$ConnectionImplAutocommitReadWriteAfterTemporaryTransactionTest.testGetCommitResponse[dialect = POSTGRESQL],2,141,29,2,1,0.02,138,882,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionStatementExecutorTest.testStatementBeginTransaction[dialect = GOOGLE_STANDARD_SQL],1,4,3,2,1,0.60,10,14,0,0.00,0.00
com.google.cloud.spanner.admin.instance.v1.InstanceAdminClientTest.deleteInstanceExceptionTest2,0,50,7,2,1,0.05,41,298,1,0.00,0.00
