TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,MutationScore,disjointMutationScore
com.google.inject.DuplicateBindingsTest.testProviderMethodsFailIfInstancesDiffer,0,332,96,7,1,0.00,21,2328,0,0.00,0.00
com.google.inject.RestrictedBindingSourceTest.modulesOverrideCantOverrideRestrictedBinding,1,399,113,7,1,0.00,12,2606,0,0.00,0.00
com.google.inject.BindingAnnotationTest.testRequireExactAnnotationsRequireAllOptionals,1,362,99,6,1,0.00,24,2370,0,0.00,0.00
com.google.inject.OptionalBindingTest.testPartialInjectorToProviderInstance,0,373,113,7,1,0.00,29,2535,0,0.00,0.00
com.google.inject.spi.InjectionPointTest.testAddForInstanceMethodsAndFields,2,66,16,3,1,0.01,10,469,1,0.00,0.00
com.google.inject.spi.ModuleAnnotatedMethodScannerTest.privateModuleScannersDontImpactSiblings_usingPrivateModule,2,377,105,8,1,0.00,21,2332,0,0.00,0.00
com.google.inject.daggeradapter.DaggerAdapterTest.testUnsupportedBindingAnnotation,0,28,6,1,1,0.01,16,134,1,0.00,0.00
com.google.inject.internal.OptionalBinderTest.testExactSameBindingCollapses_defaults,1,367,98,7,1,0.02,324,2133,1,0.00,0.00
com.googlecode.guice.Jsr330Test.testInjectingFinalFieldsIsForbidden,1,323,98,7,1,0.00,26,2242,0,0.00,0.00
com.google.inject.CircularDependencyTest.testDisabledCircularDependenciesWithProviderKeys,1,389,115,7,1,0.00,32,2605,1,0.00,0.00
com.google.inject.internal.PackageNameCompressorTest.testLegendDoesNotIncludeJavaLang,0,9,4,1,1,0.16,5,97,1,0.00,0.00
com.google.inject.spi.ProviderMethodsTest.testShareFastClassWithSuperClass,1,322,97,7,1,0.00,21,2258,1,0.00,0.00
com.google.inject.internal.RealElementTest.testEquals,1,5,1,1,1,0.00,6,15,1,0.00,0.00
com.google.inject.assistedinject.FactoryProviderTest.testTypeTokenInjection,0,26,5,1,1,0.01,23,173,1,0.00,0.00
com.google.inject.assistedinject.FactoryModuleBuilderTest.testExplicitForwardingAssistedBindingFailsWithInterface,1,15,4,1,1,0.03,14,188,1,0.00,0.00
com.google.inject.servlet.FilterDispatchIntegrationTest.testDispatchThatNoFiltersFire,1,38,13,1,1,0.02,33,306,0,0.00,0.00
com.google.inject.throwingproviders.CheckedProviderMethodsModuleTest.testWithScope,0,31,11,1,1,0.00,30,260,1,0.00,0.00
com.google.inject.grapher.ShortNameFactoryTest.testGetInstanceName_string,1,1,1,1,1,0.00,6,13,1,0.00,0.00
com.google.inject.RestrictedBindingSourceTest.exemptModuleCanBeOverridenIfRestrictedBindingIsNotOverriden,1,331,93,7,1,0.00,10,2172,0,0.00,0.00
com.google.inject.MembersInjectorTest.testMembersInjectorFromInjector,2,348,108,7,1,0.00,26,2468,0,0.00,0.00
com.google.inject.TypeListenerTest.testConstructedTypeListenerIsTheSameAsMembersInjectorListener,2,326,103,7,1,0.00,55,2125,0,0.00,0.00
com.googlecode.guice.Jsr330Test.testScopesIsSingleton,1,297,98,7,1,0.01,14,2041,0,0.00,0.00
com.google.inject.spi.ModuleAnnotatedMethodScannerTest.privateModule_skipSourcesWithinPrivateModule,2,378,105,8,1,0.00,23,2333,0,0.00,0.00
com.google.inject.JitBindingsTest.testImplementedBySomethingThatIsAnnotated,1,367,115,7,1,0.00,63,2545,0,0.00,0.00
com.google.inject.throwingproviders.CheckedProvidersTest.testCheckThrowable_unsupportedThrowableConstructor_throwsIllegalArgumentException,0,2,1,1,1,0.00,12,28,1,0.00,0.00
com.google.inject.servlet.VarargsFilterDispatchIntegrationTest.testDispatchRequestToManagedPipeline,1,38,14,1,1,0.02,31,305,0,0.00,0.00
com.google.inject.servlet.ContextPathTest.testWebtestSpecific,2,46,15,1,1,0.10,74,361,0,0.00,0.00
com.google.inject.multibindings.ProvidesIntoTest.testDoubleScannerIsIgnored,2,390,105,9,1,0.00,9,2397,0,0.00,0.00
com.google.inject.ImplicitBindingTest.testRecursiveJitBindingsCleanupCorrectly,0,369,103,7,1,0.00,28,2480,0,0.00,0.00
com.google.inject.ScopesTest.testSingletonAnnotationOnParameterizedType,1,316,100,7,1,0.00,23,2274,1,0.00,0.00
com.google.inject.BinderTest.testArrayTypeCanonicalization,3,288,92,6,1,0.00,64,1961,0,0.00,0.00
com.google.inject.spi.ElementsTest.testBindConstantWithMultipleTargetsAddsError,2,101,32,5,1,0.01,46,573,1,0.00,0.00
com.google.inject.TypeLiteralTypeResolutionTest.testThrowsExceptions,0,16,3,2,1,0.12,18,134,1,0.00,0.00
com.google.inject.JitBindingsTest.testJitProviderBindingInParentFails,2,261,80,6,1,0.01,31,1641,0,0.00,0.00
com.google.inject.testing.fieldbinder.BoundFieldModuleTest.testProviderDoesNotProvideDuringInjectorConstruction,0,14,2,1,1,0.01,7,121,1,0.00,0.00
com.google.inject.throwingproviders.ThrowingProviderTest.testWrongThrowingProviderType,0,27,6,1,1,0.07,41,223,0,0.00,0.00
com.google.inject.testing.fieldbinder.BoundFieldModuleTest.testBindingWithQualifier,0,14,2,1,1,0.01,10,121,1,0.00,0.00
com.googlecode.guice.Jsr330Test.testBindProviderClass,1,348,104,8,1,0.00,21,2391,0,0.00,0.00
com.google.inject.internal.OptionalBinderTest.testLinkedTypeSameAsBaseType,1,324,91,7,1,0.00,24,2015,1,0.00,0.00
com.google.inject.util.OverrideModuleTest.testCorrectStage,1,153,55,6,1,0.00,14,1094,0,0.00,0.00
com.google.inject.JitBindingsTest.testFailsIfInjectingScopedDirectlyWhenItIsntBound,1,355,108,7,1,0.00,29,2397,0,0.00,0.00
com.google.inject.ImplicitBindingTest.testCircularJitBindingsLeaveNoResidue,1,420,118,7,1,0.01,52,2785,0,0.00,0.00
com.google.inject.errors.NullInjectedIntoNonNullableTest.nullReturnedFromProvidesMethod,1,444,124,7,1,0.00,29,3051,0,0.00,0.00
com.google.inject.daggeradapter.DaggerAdapterTest.testSetBindings,0,29,6,1,1,0.01,10,136,1,0.00,0.00
com.google.inject.matcher.MatcherTest.testIdenticalTo,0,5,2,1,1,0.20,13,9,0,0.00,0.00
