TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore,TOP,dTOP
io.protostuff.ProtobufCodedOutputTest.testBaz,1,14,2,1,1,0.26,151,134,0,47,48,0,7,0.49,0,0,0
io.protostuff.ProtobufCodedOutputTest.testBazDelimited,0,14,4,1,1,0.22,150,140,0,40,32,3,5,0.56,0.38,0,0
io.protostuff.ProtobufCodedOutputTest.testEmptyBar,1,4,1,1,1,0.09,89,56,0,8,10,0,0,0.44,0,0,0
io.protostuff.ProtobufCodedOutputTest.testEmptyBarDelimited,0,2,2,1,1,0,109,22,0,2,6,1,1,0.25,0.5,0,0
io.protostuff.ProtobufCodedOutputTest.testEmptyBarInner,1,12,2,1,1,0.12,149,120,0,24,31,1,3,0.44,0.25,0,0
io.protostuff.ProtobufCodedOutputTest.testEmptyBazDelimited,0,2,2,1,1,0,76,22,0,2,6,1,1,0.25,0.5,0,0
io.protostuff.ProtobufCodedOutputTest.testEmptyFoo,1,4,1,1,1,0.09,116,56,0,8,10,0,0,0.44,0,0,0
io.protostuff.ProtobufCodedOutputTest.testEmptyFooDelimited,0,2,2,1,1,0,133,22,0,2,6,1,1,0.25,0.5,0,0
io.protostuff.ProtobufCodedOutputTest.testEmptyFooInner,1,12,2,1,1,0.12,202,120,0,24,31,1,3,0.44,0.25,0,0
io.protostuff.ProtobufCodedOutputTest.testEmptyInnerBarDelimited,0,9,4,1,1,0.11,205,103,0,23,20,4,2,0.53,0.67,0,0
io.protostuff.ProtobufCodedOutputTest.testEmptyInnerFooDelimited,0,9,4,1,1,0.11,294,103,0,23,20,4,2,0.53,0.67,0,0
io.protostuff.ProtobufCodedOutputTest.testFoo,1,25,2,1,1,0.17,446,195,0,88,54,2,8,0.62,0.2,0,0
io.protostuff.ProtobufCodedOutputTest.testFooDelimited,0,24,5,1,1,0.14,445,209,0,97,61,3,13,0.61,0.19,0,0
io.protostuff.ProtobufCodedOutputTest.testFooSkipMessage,1,28,2,1,1,0.15,450,227,0,91,62,4,9,0.59,0.31,0,0
io.protostuff.ProtobufCodedOutputTest.testJavaSerializable,1,50,8,1,1,0.12,281,392,0,105,74,2,10,0.59,0.17,0,0
io.protostuff.ProtobufCodedOutputTest.testJavaSerializableEmptyBar,0,4,3,1,1,0.79,75,47,0,5,9,1,0,0.36,1,0,1
