TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,MutationScore,disjointMutationScore
org.pitest.plugin.FeatureSelectorTest.shouldDisableFeaturesWhenRequested,2,19,4,2,2,0.07,6,60,1,0.00,0.00
org.pitest.junit.JUnitCompatibleConfigurationTest.canParseSnapshotVersion,2,4,2,1,1,0.22,6,36,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.mutators.MathMutatorTest.shouldReplaceIntegerModulusWithMultiplication,2,180,38,13,7,0.06,111,642,1,0.00,0.00
org.pitest.maven.report.ReportSourceLocatorParamaterizedTest.test[6: reportSourceLocator(isDirectory: false; directoryName: "abc2015def0304gh"; canWrite: true; shouldBeValid: false)],0,0,0,0,0,0.00,9,0,0,0.00,0.00
org.pitest.mutationtest.engine.gregor.mutators.BigIntegerMutatorTest.addLambda,2,168,36,13,7,0.06,110,650,1,0.00,0.00
org.pitest.mutationtest.statistics.MutationStatisticsPrecursorTest.shouldReportTestStrength,2,41,6,2,1,0.18,18,116,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutatorTest.shouldRemoveNonVoidMethodCallReturningShortType,2,187,36,13,7,0.06,107,674,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.mutators.EmptyObjectReturnValsTest.describesMutationsToString,1,139,32,13,7,0.02,35,478,0,0.00,0.00
org.pitest.mutationtest.engine.gregor.blocks.BlockTrackingMethodDecoratorTest.shouldForwardVisitInsnToChild,1,11,4,2,2,0.00,11,89,1,0.00,0.00
org.pitest.junit.JUnitCustomRunnerTestUnitFinderTest.shouldNotFindTestInNonTestClasses,2,5,2,2,1,0.39,8,37,1,0.00,0.00
org.pitest.mutationtest.config.SettingsFactoryTest.shouldNotAllowUserToCalculateCoverageForCoverageImplementation,1,12,2,1,1,0.44,8,22,1,0.00,0.00
org.pitest.mutationtest.incremental.DefaultCodeHistoryTest.shouldTreatNewClassAsChanged,1,1,1,1,1,1.00,6,10,1,0.00,0.00
org.pitest.maven.report.generator.HTMLReportGeneratorTest.testCopySuccess,2,4,2,1,1,0.79,13,23,1,0.00,0.00
