TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore,TOP,dTOP
com.helger.commons.cache.MappedCacheTest.testNoMaxSize,1,32,10,8,1,0.2,13,135,1,30,41,0,7,0.42,0,0,0
com.helger.commons.cache.MappedCacheTest.testNullStoreKey,1,22,5,5,1,0.02,9,75,1,6,38,3,5,0.14,0.38,0,0
com.helger.commons.cache.MappedCacheTest.testNullValueAllowed,1,32,10,8,1,0.19,9,132,1,33,39,1,7,0.46,0.12,0,0
com.helger.commons.cache.MappedCacheTest.testNullValueNotAllowed,1,32,10,8,1,0.2,12,127,1,26,44,0,7,0.37,0,0,0
com.helger.commons.cache.MappedCacheTest.testPrefilledCache,1,37,10,9,1,0.2,15,141,1,37,41,2,7,0.47,0.22,0,0
com.helger.commons.cache.MappedCacheTest.testSameStoreKey,1,34,10,9,1,0.18,12,132,1,33,40,0,7,0.45,0,0,0
com.helger.commons.callback.CallbackListTest.testBasic,2,10,5,5,1,0.3,11,27,1,7,12,1,1,0.37,0.5,0,0
com.helger.commons.callback.exception.LoggingExceptionCallbackTest.testAll,2,12,5,4,1,0.1,3,44,1,2,21,0,0,0.09,0,0,0
com.helger.commons.CGlobalTest.testConstants,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
com.helger.commons.CGlobalTest.testDefaults,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
com.helger.commons.charset.CharsetHelperTest.testBasic,0,2,2,2,2,0.5,4,6,1,1,2,1,0,0.33,1,0,0
com.helger.commons.charset.CharsetHelperTest.testCharsetFromName,0,3,2,2,1,0.55,15,11,1,4,2,1,0,0.67,1,0,1
com.helger.commons.charset.CharsetHelperTest.testDiacriticOE,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
com.helger.commons.charset.CharsetHelperTest.testGetAsBytesCharset,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
com.helger.commons.charset.CharsetHelperTest.testGetAsStringInOtherCharsetCharset,0,3,2,2,1,0.5,16,10,1,3,5,3,0,0.38,1,0,0
com.helger.commons.charset.CharsetHelperTest.testGetUTF8ByteCount,0,8,2,2,1,0.63,22,27,1,20,6,4,0,0.77,1,1,1
com.helger.commons.charset.CharsetHelperTest.testGreek,2,17,5,3,1,0.39,13,138,0,24,55,3,6,0.3,0.33,0,0
com.helger.commons.charset.CharsetHelperTest.testJavaCompiledAsUTF8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
com.helger.commons.charset.CharsetHelperTest.testToUtf8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
com.helger.commons.charset.EUnicodeBOMTest.testGetSizeInBytes,0,17,5,4,4,0.41,39,34,1,32,11,6,0,0.74,1,1,1
com.helger.commons.codec.ASCII85CodecTest.testDecode,1,12,5,3,1,0.01,5,86,1,34,19,8,0,0.64,1,0,1
com.helger.commons.codec.ASCIIHexCodecTest.testDecode,1,12,6,4,1,0.02,4,56,1,17,15,6,0,0.53,1,0,1
com.helger.commons.codec.Base32CodecTest.testDecode,1,21,7,5,1,0.07,24,123,1,59,31,3,6,0.66,0.33,0,0
com.helger.commons.codec.Base32CodecTest.testEncode,1,13,5,4,1,0.08,31,123,1,89,23,4,3,0.79,0.57,1,0
com.helger.commons.codec.Base32CodecTest.testGetDecodedLength,1,3,2,2,2,0.06,11,29,1,7,4,2,1,0.64,0.67,0,0
com.helger.commons.codec.Base32CodecTest.testGetEncodedLength,1,12,5,4,1,0.04,14,120,1,60,49,2,1,0.55,0.67,0,0
com.helger.commons.codec.Base64CodecTest.testGetDecodedLength,1,3,2,2,2,0.1,8,11,1,7,3,2,1,0.7,0.67,0,0
com.helger.commons.codec.Base64CodecTest.testGetEncodedLength,1,15,5,4,1,0.04,7,105,1,40,47,2,2,0.46,0.5,0,0
com.helger.commons.codec.FlateCodecTest.testDecode,1,42,16,6,1,0.03,9,198,1,46,81,0,5,0.36,0,0,0
com.helger.commons.codec.GZIPCodecTest.testDecode,1,42,16,6,1,0.04,9,193,1,48,73,0,5,0.4,0,0,0
com.helger.commons.codec.IByteArrayCodecTest.testArbitraryCodecs,9,116,34,9,1,0.02,40,888,0,401,206,7,29,0.66,0.19,0,0
com.helger.commons.codec.ICharArrayCodecTest.testArbitraryCodecs,1,20,7,4,1,0.25,37,98,0,36,25,2,3,0.59,0.4,0,0
com.helger.commons.codec.LZWCodecTest.testArbitraryCodeLengthSwitches,1,54,15,4,1,0.02,15,326,1,113,73,0,10,0.61,0,0,0
com.helger.commons.codec.LZWCodecTest.testArbitraryLargeBuffers,1,53,15,4,1,0.02,12,325,1,116,72,5,7,0.62,0.42,0,0
com.helger.commons.codec.LZWCodecTest.testDecode,1,35,11,4,1,0.02,7,185,1,57,56,0,6,0.5,0,0,0
com.helger.commons.codec.LZWCodecTest.testEncode1,1,36,10,4,1,0.02,9,205,1,63,57,1,5,0.53,0.17,0,0
com.helger.commons.codec.LZWCodecTest.testEncode2,1,54,15,4,1,0.02,8,327,1,108,75,1,11,0.59,0.08,0,0
com.helger.commons.codec.LZWCodecTest.testRandomArbitraryLargeBuffers,1,53,15,4,1,0.02,13,325,1,116,72,5,7,0.62,0.42,0,0
com.helger.commons.codec.RFC2616CodecTest.testDecode,1,17,5,4,1,0.09,21,87,1,22,25,3,7,0.47,0.3,0,0
com.helger.commons.codec.RFC2616CodecTest.testEncode,1,11,4,3,1,0.18,11,44,1,19,10,4,0,0.66,1,0,1
com.helger.commons.codec.RFC2616CodecTest.testIsToken,0,2,1,1,1,1,16,9,1,9,0,4,0,1,1,1,1
com.helger.commons.codec.RunLengthCodecTest.testDecode,1,18,6,3,1,0.03,7,103,1,33,38,6,5,0.46,0.55,0,0
com.helger.commons.collection.ArrayHelperTest.testArrayEquals,0,14,8,6,1,0.22,14,90,1,36,39,6,0,0.48,1,0,1
com.helger.commons.collection.ArrayHelperTest.testAsObjectArray,1,11,5,3,2,0.5,7,27,1,12,8,2,0,0.6,1,0,1
com.helger.commons.collection.ArrayHelperTest.testContains,0,46,7,6,1,0.06,40,148,1,126,59,6,0,0.68,1,0,1
com.helger.commons.collection.ArrayHelperTest.testContainsNullElement,0,4,2,2,1,0.58,9,12,1,5,5,4,0,0.5,1,0,1
com.helger.commons.collection.ArrayHelperTest.testFirstElement,0,4,1,1,1,0.25,5,4,1,7,0,3,0,1,1,1,1
com.helger.commons.collection.ArrayHelperTest.testGetAllExcept,0,23,7,6,1,0.07,8,108,1,37,52,7,1,0.42,0.88,0,0
