TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore
org.junit.tests.running.methods.InheritedTestTest.subclassWithInheritedTestAndOwnBeforeRunsBefore,0,205,60,11,1,0.01,5,806,0,0,0,0,0,0.00,0.00
org.junit.samples.money.MoneyTest.testBagMultiply,0,69,26,9,2,0.02,89,259,0,0,0,0,0,0.00,0.00
org.junit.runners.model.TestClassTest.isEqualToTestClassThatWrapsNoJavaClassToo,1,67,25,8,1,0.05,28,287,1,0,0,0,0,0.00,0.00
org.junit.runner.notification.SynchronizedRunListenerTest.namedListenerCorrectlyImplementsEqualsAndHashCode,1,56,20,7,1,0.04,26,212,1,0,0,0,0,0.00,0.00
org.junit.experimental.categories.CategoryTest.describeMultipleCategoryFilter,0,55,22,8,1,0.01,6,220,0,0,0,0,0,0.00,0.00
org.junit.rules.RuleMemberValidatorTest.acceptNonStaticTestRule,1,80,30,9,1,0.03,26,331,1,0,0,0,0,0.00,0.00
org.junit.tests.assertion.AssertionTest.assertNotEqualsWorksWithPrimitiveTypes,0,58,20,7,1,0.07,26,222,0,0,0,0,0,0.00,0.00
org.junit.tests.experimental.theories.internal.SpecificDataPointsSupplierTest.shouldReturnOnlyTheNamedDataPoints,2,100,32,10,1,0.03,15,451,1,0,0,0,0,0.00,0.00
org.junit.tests.assertion.MultipleFailureExceptionTest.assertEmptyThrowsMultipleFailureExceptionForManyThrowables,0,55,21,7,1,0.07,33,226,1,0,0,0,0,0.00,0.00
junit.tests.framework.ComparisonCompactorTest.testNoContextStartAndEndSame,1,45,13,4,3,0.05,24,194,1,0,0,0,0,0.00,0.00
org.junit.tests.assertion.AssertionTest.arraysActualNullMessage,0,56,21,8,1,0.01,25,252,0,0,0,0,0,0.00,0.00
org.junit.rules.TestWatcherTest$Callbacks.resultHasAllFailuresThrownByCallbacks[class org.junit.rules.TestWatcherTest$Callbacks$ViolatedAssumptionTest],0,252,81,15,1,0.00,35,1056,0,0,0,0,0,0.00,0.00
